symbol,bar_date,ratio
EFTR,2021-09-08,2.423008849557522
FBRX,2021-09-02,0.17814171122994651
FCUV,2021-09-01,4.862962962962963
FSBW,2021-07-15,0.5080997323566699
FSFG,2021-09-16,0.34194711538461536
FULC,2021-08-10,2.2088835534213684
GROM,2021-09-29,2.0388888888888888
INTZ,2021-07-20,0.5
IPA,2021-07-22,2.118918918918919
ISPC,2021-11-22,3.0570264765784114
ISRG,2021-10-05,0.33924753289473686
JAGX,2021-09-08,2.8210526315789477
JSPR,2021-10-13,1.8275418275418276
KPLT,2021-08-10,0.4252049180327869
KZR,2021-11-15,1.9536019536019538
LGVN,2021-11-18,3.1267123287671237
LGVN,2021-11-22,3.1800554016620497
LIFE,2021-09-13,2.0054744525547443
MCHP,2021-10-13,0.5036574106952632
MCRB,2021-07-22,0.3719599427753934
MDIA,2021-07-12,3.5357142857142856
MDXG,2021-09-13,0.4101738570508693
MRIN,2021-06-28,2.444155844155844
MRIN,2021-09-21,1.8349514563106792
NAOV,2021-07-23,3.761504601840736
NEGG,2021-07-07,2.215909090909091
NRXP,2021-07-22,2.295746785361029
NURO,2021-07-20,4.381410256410256
NUZE,2021-11-11,2.505
NVDA,2021-07-20,0.2457537853851218
OTRK,2021-08-19,0.5368171021377672
PETZ,2021-11-03,3.9717514124293785
PHUN,2021-10-21,2.628571428571428
PHUN,2021-10-22,2.4021739130434785
PHUN,2021-10-26,0.549800796812749
PMCB,2021-08-18,2.422857142857143
PMCB,2021-08-19,0.39504716981132076
PPSI,2021-11-08,2.561349693251534
PTGX,2021-09-17,0.38673314545848686
PTGX,2021-10-11,1.9037317468902113
PTMN,2021-08-26,9.742738589211617
PTSI,2021-08-17,0.524854249769868
QLGN,2021-11-22,2.4646464646464645
REAX,2021-07-23,0.24308062575210587
RNXT,2021-08-30,1.8935574229691876
SCVL,2021-07-20,0.5182641273805807
SONM,2021-09-16,9.673024523160763
STAF,2021-07-01,9.894736842105264
VRPX,2021-08-17,4.497619047619048
WORX,2021-07-12,1.9550561797752808
XBIO,2021-07-29,1.8513931888544892
XENE,2021-10-04,2.1775641025641024
XRTX,2021-11-03,1.945054945054945
ALLK,2021-12-22,0.11435004147410831
BBIO,2021-12-27,0.2818808468734614
BOLT,2021-12-06,0.4428571428571429
CABA,2021-12-14,0.2765787370103917
CPIX,2021-11-29,2.3378378378378377
ENSC,2021-12-07,1.9037037037037035
FENC,2021-11-29,0.5043010752688172
GBIO,2021-12-14,0.4309352517985612
KRYS,2021-11-29,2.3119819140919367
NISN,2021-12-13,0.3666969972702457
NTRB,2021-12-31,2.7084398976982094
OLMA,2021-11-30,0.4232779097387173
PLUS,2021-12-14,0.48588355086550034
SGMA,2021-12-10,2.1557478368356
SMMT,2021-12-20,0.5200803212851405
SOPA,2021-12-20,2.8911764705882352
ACMR,2022-03-24,0.3265000748166991
ADN,2022-04-06,1.853658536585366
AGRI,2022-03-10,1.8622754491017963
AIHS,2022-04-06,7.8294910830796
AKBA,2022-03-30,0.32983539094650205
ALGS,2022-01-06,0.4363807728557964
ATXI,2022-02-16,0.5435087719298246
ATXI,2022-02-28,2.4
AVGR,2022-03-15,15.405405405405405
BGXX,2022-05-18,2.0
BGXX,2022-05-19,0.32522727272727275
BIMI,2022-02-03,4.998466727997546
CBIO,2022-05-23,3.473684210526316
CCCC,2022-04-08,0.4903593339176161
CELZ,2022-03-23,1.888235294117647
CMRX,2022-05-16,0.38018433179723504
COSM,2022-04-26,2.1868131868131866
CPTN,2022-02-17,3.1816261879619847
CYN,2022-04-21,1.8558558558558558
DBGI,2022-05-05,0.47441441441441434
DOGZ,2022-01-06,0.37813211845102507
DOGZ,2022-04-22,0.514637904468413
ELYM,2022-04-25,0.4362519201228879
EVOK,2022-04-26,2.0096544715447155
EVOK,2022-05-23,10.52
GECC,2022-02-28,5.408783783783784
HYMC,2022-03-08,2.8393135725429017
HYMC,2022-03-10,3.008
